question,T2B,Survey Responses,answer,Distinct Users
"Overall, day one of Microsoft CIO Summit was valuable.",59.26%,16,5-Strongly agree,16
"Overall, the content delivered today was valuable.",51.85%,14,4-Agree,14
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,46.15%,12,5-Strongly agree,12
"Overall, the content delivered today was valuable.",44.44%,12,5-Strongly agree,12
"Overall, day one of Microsoft CIO Summit was valuable.",37.04%,10,4-Agree,10
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,26.92%,7,4-Agree,7
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,0.00%,5,3-Neither disagree nor agree,5
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,0.00%,1,1-Strongly disagree,1
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,0.00%,1,2-Disagree,1
"Overall, day one of Microsoft CIO Summit was valuable.",0.00%,1,1-Strongly disagree,1
"Overall, the content delivered today was valuable.",0.00%,1,2-Disagree,1
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,0.00%,,0-N/A (did not attend),
"Overall, day one of Microsoft CIO Summit was valuable.",0.00%,,0-N/A (did not attend),
"Overall, day one of Microsoft CIO Summit was valuable.",0.00%,,2-Disagree,
"Overall, day one of Microsoft CIO Summit was valuable.",0.00%,,3-Neither disagree nor agree,
"Overall, the content delivered today was valuable.",0.00%,,0-N/A (did not attend),
"Overall, the content delivered today was valuable.",0.00%,,1-Strongly disagree,
"Overall, the content delivered today was valuable.",0.00%,,3-Neither disagree nor agree,
