question,answer,Survey Responses,T2B,Distinct Users
"Overall, day one of Microsoft CIO Summit was valuable.",5-Strongly agree,16,59.26%,16
"Overall, the content delivered today was valuable.",4-Agree,14,51.85%,14
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,5-Strongly agree,12,46.15%,12
"Overall, the content delivered today was valuable.",5-Strongly agree,12,44.44%,12
"Overall, day one of Microsoft CIO Summit was valuable.",4-Agree,10,37.04%,10
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,4-Agree,7,26.92%,7
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,3-Neither disagree nor agree,5,0.00%,5
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,1-Strongly disagree,1,0.00%,1
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,2-Disagree,1,0.00%,1
"Overall, day one of Microsoft CIO Summit was valuable.",1-Strongly disagree,1,0.00%,1
"Overall, the content delivered today was valuable.",2-Disagree,1,0.00%,1
I value the opportunity to attend the Microsoft Ignite Keynote in-person within the CIO Summit.,0-N/A (did not attend),,0.00%,
"Overall, day one of Microsoft CIO Summit was valuable.",0-N/A (did not attend),,0.00%,
"Overall, day one of Microsoft CIO Summit was valuable.",2-Disagree,,0.00%,
"Overall, day one of Microsoft CIO Summit was valuable.",3-Neither disagree nor agree,,0.00%,
"Overall, the content delivered today was valuable.",0-N/A (did not attend),,0.00%,
"Overall, the content delivered today was valuable.",1-Strongly disagree,,0.00%,
"Overall, the content delivered today was valuable.",3-Neither disagree nor agree,,0.00%,
